id,transaction_type,date_run
wDZLXV07dgigRc6XKWi1-g,delivery,2022-08-16 00:00:00
nPVDL8Iu3ourycexssk9tA,delivery,2022-08-16 00:00:00
ySKMvcI3ImApkkMkSjna9A,pickup,2022-08-16 00:00:00
ySKMvcI3ImApkkMkSjna9A,delivery,2022-08-16 00:00:00
TDVo-jn5wKQynikZi8lXIA,delivery,2022-08-16 00:00:00
Fd2P_10fj7Kv8JdIa2oQgQ,delivery,2022-08-16 00:00:00
PPrY8RkFfffWLCSX4kNHXQ,delivery,2022-08-16 00:00:00
TlKKuqPkF0dC5aYl2J1Piw,pickup,2022-08-16 00:00:00
TlKKuqPkF0dC5aYl2J1Piw,delivery,2022-08-16 00:00:00
86zB6G8EjBfm6UM4hRq4TA,delivery,2022-08-16 00:00:00
hk31VCyuTN99xZK4WNAlKA,delivery,2022-08-16 00:00:00
JQAKcOzObl2I7vLKZLkBdQ,delivery,2022-08-16 00:00:00
k5ng9LPFWH5BjAxtHqUpyg,delivery,2022-08-16 00:00:00
8Xb8xruotfuSmCGBAnLl8A,pickup,2022-08-16 00:00:00
8Xb8xruotfuSmCGBAnLl8A,delivery,2022-08-16 00:00:00
BG4ZGXyO1srEI_Tly68ReQ,pickup,2022-08-16 00:00:00
BG4ZGXyO1srEI_Tly68ReQ,delivery,2022-08-16 00:00:00
ZHMHUTDxXhufLU-iFSNntg,delivery,2022-08-16 00:00:00
CycF-FKea-x1jGukd4khyg,pickup,2022-08-16 00:00:00
CycF-FKea-x1jGukd4khyg,delivery,2022-08-16 00:00:00
Gn5erxCRML47GgbGYdxzFA,delivery,2022-08-16 00:00:00
2aILYZOWPxdlfqydJaYz_w,delivery,2022-08-16 00:00:00
_obwG8MG2OuFUe1TW3BjGw,pickup,2022-08-16 00:00:00
_obwG8MG2OuFUe1TW3BjGw,delivery,2022-08-16 00:00:00
KFMsgY5mV_wCYsa0XX_hEQ,delivery,2022-08-16 00:00:00
w8Frh2uJcT7eWBtPEBxfkA,delivery,2022-08-16 00:00:00
czZc0dlufumMXh9-Ncq2xA,delivery,2022-08-16 00:00:00
Mm85LOfXkt0pPShDdYVM-A,pickup,2022-08-16 00:00:00
Mm85LOfXkt0pPShDdYVM-A,delivery,2022-08-16 00:00:00
ucG8-u7r4plZrAKbHX9_Ow,pickup,2022-08-16 00:00:00
ucG8-u7r4plZrAKbHX9_Ow,delivery,2022-08-16 00:00:00
ZePNj2ZqimO9D2WcKZRRwg,pickup,2022-08-16 00:00:00
ZePNj2ZqimO9D2WcKZRRwg,delivery,2022-08-16 00:00:00
IeLDRhva7CJ3EXuYw5xgVg,pickup,2022-08-16 00:00:00
IeLDRhva7CJ3EXuYw5xgVg,delivery,2022-08-16 00:00:00
K6AaVnMNztGBsIOy_nNnFw,delivery,2022-08-16 00:00:00
j2maiRNh_ErcsvPBiZCkqw,pickup,2022-08-16 00:00:00
j2maiRNh_ErcsvPBiZCkqw,restaurant_reservation,2022-08-16 00:00:00
j2maiRNh_ErcsvPBiZCkqw,delivery,2022-08-16 00:00:00
IQHdw04Ymy7JrlDLIBcrhA,pickup,2022-08-16 00:00:00
IQHdw04Ymy7JrlDLIBcrhA,delivery,2022-08-16 00:00:00
lxvncNXJKThTmLmARv72pA,pickup,2022-08-16 00:00:00
lxvncNXJKThTmLmARv72pA,delivery,2022-08-16 00:00:00
Sbj_J9u0CgiKOo371bD4Kg,delivery,2022-08-16 00:00:00
