id,title,alias,date_run
Fd2P_10fj7Kv8JdIa2oQgQ,Italian,italian,2022-08-16 00:00:00
Fd2P_10fj7Kv8JdIa2oQgQ,Bars,bars,2022-08-16 00:00:00
Fd2P_10fj7Kv8JdIa2oQgQ,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
PPrY8RkFfffWLCSX4kNHXQ,Wine Bars,wine_bars,2022-08-16 00:00:00
PPrY8RkFfffWLCSX4kNHXQ,French,french,2022-08-16 00:00:00
TlKKuqPkF0dC5aYl2J1Piw,British,british,2022-08-16 00:00:00
TlKKuqPkF0dC5aYl2J1Piw,Pubs,pubs,2022-08-16 00:00:00
86zB6G8EjBfm6UM4hRq4TA,Japanese,japanese,2022-08-16 00:00:00
86zB6G8EjBfm6UM4hRq4TA,Noodles,noodles,2022-08-16 00:00:00
n6c0BSmXQtthF98Ro6VOaA,American (New),newamerican,2022-08-16 00:00:00
n6c0BSmXQtthF98Ro6VOaA,Sports Bars,sportsbars,2022-08-16 00:00:00
7Xu4UAkZlan8SmYq1HQojw,Japanese,japanese,2022-08-16 00:00:00
7Xu4UAkZlan8SmYq1HQojw,Sushi Bars,sushi,2022-08-16 00:00:00
hk31VCyuTN99xZK4WNAlKA,Asian Fusion,asianfusion,2022-08-16 00:00:00
hk31VCyuTN99xZK4WNAlKA,Korean,korean,2022-08-16 00:00:00
hk31VCyuTN99xZK4WNAlKA,Seafood,seafood,2022-08-16 00:00:00
JQAKcOzObl2I7vLKZLkBdQ,Mexican,mexican,2022-08-16 00:00:00
k5ng9LPFWH5BjAxtHqUpyg,Sushi Bars,sushi,2022-08-16 00:00:00
k5ng9LPFWH5BjAxtHqUpyg,Japanese,japanese,2022-08-16 00:00:00
k5ng9LPFWH5BjAxtHqUpyg,Tapas Bars,tapas,2022-08-16 00:00:00
8Xb8xruotfuSmCGBAnLl8A,Mexican,mexican,2022-08-16 00:00:00
8Xb8xruotfuSmCGBAnLl8A,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
BG4ZGXyO1srEI_Tly68ReQ,Seafood,seafood,2022-08-16 00:00:00
BG4ZGXyO1srEI_Tly68ReQ,French,french,2022-08-16 00:00:00
BG4ZGXyO1srEI_Tly68ReQ,American (New),newamerican,2022-08-16 00:00:00
ZHMHUTDxXhufLU-iFSNntg,Korean,korean,2022-08-16 00:00:00
ZHMHUTDxXhufLU-iFSNntg,Asian Fusion,asianfusion,2022-08-16 00:00:00
CycF-FKea-x1jGukd4khyg,Bars,bars,2022-08-16 00:00:00
CycF-FKea-x1jGukd4khyg,Seafood,seafood,2022-08-16 00:00:00
Gn5erxCRML47GgbGYdxzFA,Cuban,cuban,2022-08-16 00:00:00
Gn5erxCRML47GgbGYdxzFA,Caribbean,caribbean,2022-08-16 00:00:00
Gn5erxCRML47GgbGYdxzFA,Sandwiches,sandwiches,2022-08-16 00:00:00
2aILYZOWPxdlfqydJaYz_w,Italian,italian,2022-08-16 00:00:00
_obwG8MG2OuFUe1TW3BjGw,Asian Fusion,asianfusion,2022-08-16 00:00:00
_obwG8MG2OuFUe1TW3BjGw,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
KFMsgY5mV_wCYsa0XX_hEQ,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
KFMsgY5mV_wCYsa0XX_hEQ,American (Traditional),tradamerican,2022-08-16 00:00:00
w8Frh2uJcT7eWBtPEBxfkA,American (New),newamerican,2022-08-16 00:00:00
w8Frh2uJcT7eWBtPEBxfkA,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
w8Frh2uJcT7eWBtPEBxfkA,Wine Bars,wine_bars,2022-08-16 00:00:00
czZc0dlufumMXh9-Ncq2xA,Italian,italian,2022-08-16 00:00:00
czZc0dlufumMXh9-Ncq2xA,Wine Bars,wine_bars,2022-08-16 00:00:00
Mm85LOfXkt0pPShDdYVM-A,Italian,italian,2022-08-16 00:00:00
Mm85LOfXkt0pPShDdYVM-A,Seafood,seafood,2022-08-16 00:00:00
Mm85LOfXkt0pPShDdYVM-A,Pizza,pizza,2022-08-16 00:00:00
ucG8-u7r4plZrAKbHX9_Ow,Steakhouses,steak,2022-08-16 00:00:00
ucG8-u7r4plZrAKbHX9_Ow,Butcher,butcher,2022-08-16 00:00:00
ucG8-u7r4plZrAKbHX9_Ow,Wine Bars,wine_bars,2022-08-16 00:00:00
ZePNj2ZqimO9D2WcKZRRwg,Hawaiian,hawaiian,2022-08-16 00:00:00
ZePNj2ZqimO9D2WcKZRRwg,Noodles,noodles,2022-08-16 00:00:00
ZePNj2ZqimO9D2WcKZRRwg,Soup,soup,2022-08-16 00:00:00
IeLDRhva7CJ3EXuYw5xgVg,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
IeLDRhva7CJ3EXuYw5xgVg,Southern,southern,2022-08-16 00:00:00
IeLDRhva7CJ3EXuYw5xgVg,Coffee & Tea,coffee,2022-08-16 00:00:00
K6AaVnMNztGBsIOy_nNnFw,Lounges,lounges,2022-08-16 00:00:00
